-2.0, -1.0, -11.0, -15.0, 20.0, 9.0, -3.0, -16.0
2.0, 3.0, 16.0, -5.0, -43.0, -51.0, -14.0, -28.0
-1.0, -6.0, -17.0, 4.0, 56.0, 46.0, 1.0, -15.0
-4.0, -8.0, 7.0, 1.0, -37.0, -7.0, 0.0, -16.0
-1.0, -9.0, -17.0, 12.0, 7.0, -20.0, 2.0, -20.0
1.0, 15.0, 17.0, -10.0, 31.0, 25.0, -10.0, -30.0
-2.0, -10.0, -22.0, 0.0, -27.0, -39.0, 44.0, 20.0
-2.0, 0.0, 10.0, 4.0, -51.0, -12.0, -22.0, -32.0
1.0, -6.0, -2.0, -1.0, 86.0, 101.0, 0.0, -12.0
5.0, 15.0, 24.0, -2.0, -80.0, -94.0, 5.0, -11.0
2.0, 2.0, 1.0, 5.0, -5.0, 19.0, -10.0, -16.0
-2.0, 0.0, -3.0, 0.0, 67.0, 28.0, 9.0, -3.0
1.0, -1.0, -3.0, 5.0, -46.0, 2.0, -4.0, -24.0
-8.0, -17.0, -28.0, -5.0, 7.0, 18.0, -16.0, -22.0
0.0, -7.0, 3.0, 5.0, 9.0, -18.0, 4.0, -13.0
-2.0, 0.0, -54.0, -16.0, 41.0, -2.0, -13.0, -19.0
-3.0, -1.0, 42.0, 1.0, 36.0, 5.0, -10.0, -22.0
5.0, 2.0, -1.0, 6.0, -92.0, -29.0, -4.0, -19.0
-5.0, 4.0, 17.0, 6.0, 70.0, 57.0, 10.0, -6.0
-2.0, -9.0, -34.0, -16.0, -11.0, -44.0, -7.0, -25.0
5.0, 17.0, 40.0, -1.0, 27.0, 4.0, 24.0, 11.0
-3.0, -6.0, -24.0, -1.0, -4.0, -30.0, -16.0, -25.0
-2.0, -5.0, -6.0, 8.0, -58.0, 18.0, -11.0, -20.0
4.0, -2.0, 1.0, 2.0, 48.0, 81.0, -24.0, -32.0
-7.0, -17.0, -43.0, -1.0, -94.0, -32.0, 42.0, 8.0
-1.0, 2.0, 15.0, 0.0, 46.0, 16.0, -3.0, -18.0
0.0, -1.0, 9.0, -8.0, -27.0, -14.0, -18.0, -17.0
2.0, 11.0, 13.0, 3.0, 11.0, 4.0, -13.0, -12.0
3.0, 6.0, 12.0, -8.0, 56.0, 29.0, -4.0, -12.0
-3.0, -3.0, 3.0, 6.0, -22.0, 32.0, 17.0, -6.0
-6.0, -6.0, -35.0, 0.0, -6.0, -13.0, -20.0, -29.0
1.0, 4.0, 8.0, 12.0, -6.0, 8.0, 32.0, 4.0
-3.0, -4.0, 15.0, -12.0, 6.0, -26.0, -10.0, -17.0
-3.0, 2.0, -8.0, -12.0, 20.0, 3.0, 7.0, -5.0
-2.0, -7.0, -34.0, -16.0, -18.0, -45.0, -6.0, -13.0
-1.0, 12.0, 6.0, 3.0, 34.0, -2.0, -2.0, -12.0
-1.0, -6.0, -35.0, 10.0, -117.0, -86.0, -7.0, -25.0
1.0, -1.0, 52.0, 5.0, 46.0, 61.0, -23.0, -27.0
-1.0, -7.0, -1.0, -4.0, 3.0, -10.0, 32.0, 8.0
0.0, 7.0, -5.0, -2.0, 23.0, 72.0, -13.0, -14.0
-1.0, -6.0, -14.0, 8.0, 11.0, 60.0, -7.0, -19.0
1.0, 14.0, 1.0, -6.0, -22.0, 13.0, 47.0, 18.0
-2.0, -14.0, 19.0, 7.0, 3.0, 64.0, -39.0, -45.0
-2.0, 4.0, -17.0, -21.0, -12.0, -55.0, 20.0, -2.0
-1.0, -2.0, 0.0, -9.0, -1.0, 10.0, -21.0, -22.0
-1.0, -9.0, 0.0, 5.0, 15.0, 41.0, -19.0, -24.0
